Month,Data
01/2005,7231
02/2005,7267
03/2005,7009
04/2005,6258
05/2005,8411
06/2005,5662
07/2005,2388
08/2005,629
09/2005,381
10/2005,1928
11/2005,2458
12/2005,3591
01/2006,5810
02/2006,5893
03/2006,6428
04/2006,6651
05/2006,6998
06/2006,4599
07/2006,2139
08/2006,424
09/2006,324
10/2006,1145
11/2006,2390
12/2006,3140
01/2007,6600
02/2007,5980
03/2007,6982
04/2007,7678
05/2007,7063
06/2007,4671
07/2007,1615
08/2007,268
09/2007,251
10/2007,1287
11/2007,2692
12/2007,4488
01/2008,6102
02/2008,3509
03/2008,5303
04/2008,4150
05/2008,5099
06/2008,4426
07/2008,1248
08/2008,331
09/2008,391
10/2008,1299
11/2008,1932
12/2008,3267
01/2009,5408
02/2009,5176
03/2009,7123
04/2009,5706
05/2009,5466
06/2009,5304
07/2009,1708
08/2009,411
09/2009,244
10/2009,746
11/2009,2070
12/2009,2090
01/2010,2936
02/2010,3579
03/2010,5708
04/2010,5283
05/2010,6400
06/2010,4327
07/2010,1753
08/2010,427
09/2010,306
10/2010,1383
11/2010,3447
12/2010,3419
01/2011,5274
02/2011,4869
03/2011,5944
04/2011,4807
05/2011,6968
06/2011,3572
07/2011,1521
08/2011,480
09/2011,318
10/2011,1214
11/2011,2040
12/2011,3077
01/2012,5674
02/2012,4461
03/2012,3946
04/2012,4147
05/2012,4053
06/2012,3679
07/2012,1785
08/2012,280
09/2012,271
10/2012,888
11/2012,1993
12/2012,3043
01/2013,4522
02/2013,4366
03/2013,4564
04/2013,5344
05/2013,4341
06/2013,3460
07/2013,2379
08/2013,417
09/2013,365
10/2013,974
11/2013,1824
12/2013,2140
01/2014,3320
02/2014,2954
03/2014,5034
04/2014,2587
05/2014,5148
06/2014,3773
07/2014,1580
08/2014,492
09/2014,355
10/2014,794
11/2014,1172
12/2014,3104
